real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0978752013760653,0.0329439253985254,0.0266137765954388,0.0269310498868721,Using Identity Responses,2013,FL,ridgelog,2962,2962
0.0958540188751205,0.0392121055217614,0.0289199908563805,0.0287232259400552,Using Identity Responses,2015,FL,ridgelog,3081,3081
0.0888800061518373,0.0397741115667317,0.0337490191151649,0.0337490191151649,Using Identity Responses,2017,FL,ridgelog,2937,2937
0.0978752013760653,0.0329439253985254,0.0237839609009547,0.0241268268694581,Not Using Identity Responses,2013,FL,ridgelog,2962,2962
0.0958540188751205,0.0392121055217614,0.0242390578697693,0.0240345997160924,Not Using Identity Responses,2015,FL,ridgelog,3081,3081
0.0888800061518373,0.0397741115667317,0.0280848989631893,0.0280848989631893,Not Using Identity Responses,2017,FL,ridgelog,2937,2937
