real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0300836601082735,0.0323266133968375,0.0628078226514662,0.0610512503636911,Using Identity Responses,2015,VT,ridge,10476,10476
0.0399137879718647,0.0371973252663913,0.0672412539394088,0.0672412539394088,Using Identity Responses,2017,VT,ridge,10334,10334
0.0300836601082735,0.0323266133968375,0.0640580548410707,0.0623014825532956,Not Using Identity Responses,2015,VT,ridge,10476,10476
0.0399137879718647,0.0371973252663913,0.0660171702562093,0.0660171702562093,Not Using Identity Responses,2017,VT,ridge,10334,10334
