real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.163145888421112,0.0336343997727068,0.0481860327909221,0.0467304654829605,Using Identity Responses,2015,CT,lassolog,1186,1186
0.109734638923077,0.0574327735041058,0.0481694782073652,0.0481694782073652,Using Identity Responses,2017,CT,lassolog,1197,1197
0.163145888421112,0.0336343997727068,0.0447225356308772,0.0430608008546972,Not Using Identity Responses,2015,CT,lassolog,1186,1186
0.109734638923077,0.0574327735041058,0.0428117626845465,0.0428117626845465,Not Using Identity Responses,2017,CT,lassolog,1197,1197
