real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.196665610234488,0.0559368850679292,0.0445237547183723,0.0444874410600936,Using Identity Responses,2015,NY,gbrt,5114,5114
0.164948597245875,0.0393244920558438,0.0486855798183837,0.0486855798183837,Using Identity Responses,2017,NY,gbrt,5390,5390
0.196665610234488,0.0559368850679292,0.043023269166492,0.0430296690628555,Not Using Identity Responses,2015,NY,gbrt,5114,5114
0.164948597245875,0.0393244920558438,0.0449342148066052,0.0449342148066052,Not Using Identity Responses,2017,NY,gbrt,5390,5390
