real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.196665610234488,0.0559368850679292,0.0399588534655951,0.040557278340989,Using Identity Responses,2015,NY,ridge,5114,5114
0.164948597245875,0.0393244920558438,0.0549458211347871,0.0549458211347871,Using Identity Responses,2017,NY,ridge,5390,5390
0.196665610234488,0.0559368850679292,0.0369157956574966,0.0375142205328905,Not Using Identity Responses,2015,NY,ridge,5114,5114
0.164948597245875,0.0393244920558438,0.0435605018172655,0.0435605018172655,Not Using Identity Responses,2017,NY,ridge,5390,5390
