real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.163145888421112,0.0336343997727068,0.0406817830866796,0.0406817830866796,Using Identity Responses,2015,CT,gbrt,1186,1186
0.109734638923077,0.0574327735041058,0.0419524656494634,0.0419524656494634,Using Identity Responses,2017,CT,gbrt,1197,1197
0.163145888421112,0.0336343997727068,0.0369557517979792,0.0369557517979792,Not Using Identity Responses,2015,CT,gbrt,1186,1186
0.109734638923077,0.0574327735041058,0.0373852608317892,0.0373852608317892,Not Using Identity Responses,2017,CT,gbrt,1197,1197
