real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0188816605083887,0.0753629931178234,0.016997953895248,0.0594025614841263,Using Contact Responses,2013,RI,ols,2453,2453
0.0264420987982099,0.0951338758955237,0.00735492990170169,0.0204476464933185,Using Contact Responses,2015,RI,ols,3462,3462
0.0157892793213527,0.109487118907166,0.0550935989862867,0.0550935989862867,Using Contact Responses,2017,RI,ols,2221,2221
0.0188816605083887,0.0753629931178234,0.0181825053619109,0.0605871129507892,Not Using Contact Responses,2013,RI,ols,2453,2453
0.0264420987982099,0.0951338758955237,0.00925967436609924,0.0223523909577161,Not Using Contact Responses,2015,RI,ols,3462,3462
0.0157892793213527,0.109487118907166,0.0538517971492744,0.0538517971492744,Not Using Contact Responses,2017,RI,ols,2221,2221
