real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0553485703200353,0.045497122389987,0.045688978151319,0.0441409454109557,Using Identity Responses,2015,CA,logit,1943,1943
0.0813759545860621,0.0676291130441184,0.0410699529580259,0.0410699529580259,Using Identity Responses,2017,CA,logit,1778,1778
0.0553485703200353,0.045497122389987,0.0481191819115753,0.0461111011070247,Not Using Identity Responses,2015,CA,logit,1943,1943
0.0813759545860621,0.0676291130441184,0.0354679735626629,0.0354679735626629,Not Using Identity Responses,2017,CA,logit,1778,1778
