real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0157563359473316,0.0929028176031623,0.0981439502696014,0.10577894299815,Using Contact Responses,2015,NV,rf,1452,1452
0.0250174239447728,0.130572052976703,0.118210116520826,0.118210116520826,Using Contact Responses,2017,NV,rf,1667,1667
0.0157563359473316,0.0929028176031623,0.0826211531504506,0.0918591712835062,Not Using Contact Responses,2015,NV,rf,1452,1452
0.0250174239447728,0.130572052976703,0.101668251425386,0.101668251425386,Not Using Contact Responses,2017,NV,rf,1667,1667
