real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0151575488383084,0.0928250603384332,0.123629810808999,0.135303363594067,Using Contact Responses,2015,KY,logit,2577,2577
0.0168459271741048,0.111385982394862,0.112000101489819,0.112000101489819,Using Contact Responses,2017,KY,logit,1997,1997
0.0151575488383084,0.0928250603384332,0.122184519811605,0.135443753385952,Not Using Contact Responses,2015,KY,logit,2577,2577
0.0168459271741048,0.111385982394862,0.111225802769787,0.111225802769787,Not Using Contact Responses,2017,KY,logit,1997,1997
