real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.00958824286749143,0.0612016536077505,0.0812650791884484,0.110878608165111,Using Contact Responses,2013,NH,lasso,1634,1634
0.0151201698470128,0.0964664974824745,0.0765174196403204,0.0765174196403204,Using Contact Responses,2017,NH,lasso,12050,12050
0.00958824286749143,0.0612016536077505,0.082144512599187,0.11175804157585,Not Using Contact Responses,2013,NH,lasso,1634,1634
0.0151201698470128,0.0964664974824745,0.0764086750315643,0.0764086750315643,Not Using Contact Responses,2017,NH,lasso,12050,12050
