real_missing_prop,real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n,n_non_missing
0.0981604197978423,0.0657478082883377,0.0643941227259139,0.0642929070204583,Using Identity Responses,2013,FL,gbrt,6089,6089
0.0960359167901894,0.066263853581743,0.0647847167005832,0.0637437597444841,Using Identity Responses,2015,FL,gbrt,6359,6359
0.0780735170428381,0.0756363816315369,0.0705562113600134,0.0705562113600134,Using Identity Responses,2017,FL,gbrt,6171,6171
0.0981604197978423,0.0657478082883377,0.0609982439367073,0.0609547225486258,Not Using Identity Responses,2013,FL,gbrt,6089,6089
0.0960359167901894,0.066263853581743,0.0615128979885742,0.0606936796009317,Not Using Identity Responses,2015,FL,gbrt,6359,6359
0.0780735170428381,0.0756363816315369,0.0603590447766992,0.0603590447766992,Not Using Identity Responses,2017,FL,gbrt,6171,6171
