pred_state,real_prev
AR,0.0568098506161409
CA,0.0450759894837462
CT,0.0574327735041058
DE,0.041897384903805
FL,0.0397741115667317
HI,0.0515936463268641
IA,0.0328740767270927
IL,0.0474918238932384
KY,0.0307737712614536
MA,0.0498931739393917
ME,0.0558275074987893
MI,0.0535917083807907
NC,0.0506241620115915
NE,0.0284471954150905
NH,0.0326681613261769
NM,0.054749314660057
NV,0.0407495127719501
NY,0.0393244920558438
OK,0.0287410460414176
PA,0.0324504982182546
RI,0.0484679210890653
SC,0.0718210335744726
TX,0.0451025589617144
VT,0.0371973252663913
WI,0.0361089342621994
WV,0.0507547437343137
