pred_state,real_prev
AR,0.109305608736529
CA,0.0676291130441184
CT,0.0824293876381043
DE,0.0693096591178337
FL,0.0756363816315369
HI,0.0702698816680378
IA,0.0600912755420069
IL,0.0737981062313222
KY,0.0721530462238808
MA,0.0783309080054738
ME,0.0804764767521303
MI,0.074250365940148
NC,0.0818405304321545
NE,0.0529864981089931
NH,0.0541399534169904
NM,0.0782656168160385
NV,0.0867770629406395
NY,0.0679558600645151
OK,0.0674285541069115
PA,0.0620686473639098
RI,0.0746577576826084
SC,0.0835750163988668
TX,0.0677192929693558
VT,0.0638054449770258
WI,0.0573642161677739
WV,0.0723146162705365
